date,time,temperature,feels_like,precip_mm,humidity,visibility,pressure,cloud_cover,wind_speed,month,datetime,hour,day,month_num,hour_sin,hour_cos,month_num_sin,month_num_cos,temp_rolling_mean,temp_rolling_std,temp_lag_24,humidity_lag_24,visibility_cleaned,humidity_cleaned,wind_speed_cleaned,temp_range,dew_point,heat_index,temp_change,pressure_change,humidity_comfort,heat_stress
2024-02-01,00:00,18,18,0.2,92,9,1014,76,4,february,2024-02-01 00:00:00,0,1,2,0.0,1.0,0.8660254037844386,0.5000000000000001,18.0,,18.0,87.36637931034483,9,92,4,10,16.678824728856874,18.0,,,Very Humid,Safe
2024-02-01,03:00,18,18,0.0,92,10,1013,27,5,february,2024-02-01 03:00:00,3,1,2,0.7071067811865476,0.7071067811865476,0.8660254037844386,0.5000000000000001,18.0,0.0,18.0,87.36637931034483,10,92,5,10,16.678824728856874,18.0,0.0,-1.0,Very Humid,Safe
2024-02-01,06:00,18,18,0.0,90,10,1014,40,3,february,2024-02-01 06:00:00,6,1,2,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,18.0,0.0,18.0,87.36637931034483,10,90,3,10,16.332841228150222,18.0,0.0,1.0,Very Humid,Safe
2024-02-01,09:00,27,29,0.2,71,9,1014,74,2,february,2024-02-01 09:00:00,9,1,2,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,20.25,4.5,20.25,87.36637931034483,9,71,2,10,21.280632586516848,28.939056981777714,9.0,0.0,Very Humid,Caution
2024-02-01,12:00,28,32,1.0,75,10,1012,59,3,february,2024-02-01 12:00:00,12,1,2,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,21.8,5.215361924162119,21.8,87.36637931034483,10,75,3,10,23.143066788244095,31.35576789511109,1.0,-2.0,Very Humid,Caution
2024-02-01,15:00,26,29,0.9,88,10,1011,93,2,february,2024-02-01 15:00:00,15,1,2,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,22.5,4.969909455915671,22.5,87.36637931034483,10,88,2,10,23.85221278740892,26.0,-2.0,-1.0,Very Humid,Safe
2024-02-01,18:00,24,26,3.9,96,7,1012,61,5,february,2024-02-01 18:00:00,18,1,2,-1.0,-1.8369701987210297e-16,0.8660254037844386,0.5000000000000001,22.714285714285715,4.572172558506722,22.714285714285715,87.36637931034483,7,96,5,10,23.320715976891883,24.0,-2.0,1.0,Very Humid,Safe
2024-02-01,21:00,19,19,0.2,93,2,1015,81,5,february,2024-02-01 21:00:00,21,1,2,-0.7071067811865477,0.7071067811865474,0.8660254037844386,0.5000000000000001,22.25,4.432026302139591,22.25,87.36637931034483,5,93,5,10,17.840354859948416,19.0,-5.0,3.0,Very Humid,Safe
2024-02-02,00:00,21,21,0.8,93,10,1013,53,0,february,2024-02-02 00:00:00,0,2,2,0.0,1.0,0.8660254037844386,0.5000000000000001,22.11111111111111,4.166666666666667,22.11111111111111,87.36637931034483,10,93,1,8,19.822255874126274,21.0,,,Very Humid,Safe
2024-02-02,03:00,21,21,0.3,93,9,1012,72,3,february,2024-02-02 03:00:00,3,2,2,0.7071067811865476,0.7071067811865476,0.8660254037844386,0.5000000000000001,22.0,3.9440531887330774,22.0,87.36637931034483,9,93,3,8,19.822255874126274,21.0,0.0,-1.0,Very Humid,Safe
2024-02-02,06:00,20,20,0.0,90,10,1013,70,2,february,2024-02-02 06:00:00,6,2,2,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,21.818181818181817,3.789938833759242,21.818181818181817,87.36637931034483,10,90,2,8,18.3067456667957,20.0,-1.0,1.0,Very Humid,Safe
2024-02-02,09:00,27,30,0.4,78,5,1014,74,1,february,2024-02-02 09:00:00,9,2,2,0.7071067811865476,-0.7071067811865475,0.8660254037844386,0.5000000000000001,22.25,3.910940365878077,22.25,87.36637931034483,5,78,1,8,22.826095485333095,29.554454533777832,7.0,1.0,Very Humid,Caution
2024-02-02,12:00,28,31,1.3,79,10,1012,74,3,february,2024-02-02 12:00:00,12,2,2,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,22.692307692307693,4.069902033722994,22.692307692307693,87.36637931034483,10,79,3,8,24.00711957690206,31.94609196355557,1.0,-2.0,Very Humid,Caution
2024-02-02,15:00,26,30,1.8,86,10,1010,70,1,february,2024-02-02 15:00:00,15,2,2,-0.7071067811865471,-0.7071067811865479,0.8660254037844386,0.5000000000000001,22.928571428571427,4.008918628686366,22.928571428571427,87.36637931034483,10,86,1,8,23.46966166906101,26.0,-2.0,-2.0,Very Humid,Safe
