iter	RMSE
0	0.5417433948
1	0.5067704878
2	0.4761589506
3	0.446161119
4	0.4197700398
5	0.3972047902
6	0.3766882955
7	0.3583429453
8	0.3409121839
9	0.3256085163
10	0.3125567183
11	0.2999583514
12	0.2904657274
13	0.2817117719
14	0.2733190172
15	0.265923185
16	0.2599345759
17	0.2542496022
18	0.2498478937
19	0.2455455877
20	0.2412448202
21	0.2378401771
22	0.2345567347
23	0.2319444044
24	0.2297054821
25	0.2277036695
26	0.2255183421
27	0.2238663273
28	0.222560066
29	0.2212068853
30	0.2203542238
31	0.2189919756
32	0.2180453471
33	0.2165981158
34	0.2153875214
35	0.2146832958
36	0.2139194018
37	0.2127265776
38	0.212366785
39	0.2113471876
40	0.2108294001
41	0.2100692923
42	0.2091922257
43	0.2087291244
44	0.2076173267
45	0.2072887634
46	0.2066455166
47	0.206275049
48	0.2060384306
49	0.2056882614
50	0.2055651935
51	0.2052215534
52	0.205078136
53	0.2046318615
54	0.204031758
55	0.2037395891
56	0.2036198657
57	0.2034469634
58	0.2033054418
59	0.2026874221
60	0.2022143429
61	0.2020064452
62	0.2016795904
63	0.2016036922
64	0.2014432057
65	0.2010270669
66	0.2007494202
67	0.2004051876
68	0.200093977
69	0.2000123483
70	0.1997055921
71	0.1992975772
72	0.1990223431
73	0.19872631
74	0.1986162701
75	0.1983089572
76	0.1980515952
77	0.1977439146
78	0.1974338838
79	0.197182638
80	0.1968498417
81	0.196812336
82	0.1967111753
83	0.196556874
84	0.1963804209
85	0.196051041
86	0.1958310378
87	0.1956554604
88	0.1955191132
89	0.1952934328
90	0.195151931
91	0.1950517007
92	0.1948019022
93	0.1944204596
94	0.1943241257
95	0.1942501065
96	0.1941340343
97	0.1938337884
98	0.1936397658
99	0.1934501802
100	0.1933388685
101	0.1931074444
102	0.1929604988
103	0.1923687325
104	0.1923041112
105	0.1920393046
106	0.1919275798
107	0.1918273041
108	0.1917551437
109	0.1916738114
110	0.191435144
111	0.1911766557
112	0.1910037449
113	0.1908462946
114	0.1907334074
115	0.1906388346
116	0.1905502756
117	0.1901334617
118	0.1898170229
119	0.1896311363
120	0.1893216838
121	0.1892458965
122	0.1891323331
123	0.1889626401
124	0.1886268694
125	0.1885580855
126	0.1884450259
127	0.1884241472
128	0.1882793628
129	0.188068353
130	0.187960744
131	0.1878935759
132	0.1877953061
133	0.1875761736
134	0.1871588453
135	0.1870382744
136	0.1869817068
137	0.1868455127
138	0.1866125418
139	0.1865399861
140	0.1864334529
141	0.1863619909
142	0.1861678302
143	0.1859932164
144	0.1858751709
145	0.1857114526
146	0.1854373571
147	0.1853179318
148	0.1852454515
149	0.1852068448
150	0.1849573907
151	0.1848357385
152	0.1846076163
153	0.1845474428
154	0.1843310703
155	0.1842191716
156	0.1841159256
157	0.1839910804
158	0.1839145418
159	0.1838408293
160	0.1835833549
161	0.1835583904
162	0.1834846519
163	0.1833817786
164	0.1831982078
165	0.1831169719
166	0.1829814124
167	0.1829497062
168	0.1828712956
169	0.1828242371
170	0.1826506112
171	0.1825669831
172	0.1825002816
173	0.1823048363
174	0.182103605
175	0.1819569308
176	0.1819000338
177	0.1818704771
178	0.1816182038
179	0.1815327494
180	0.1814873941
181	0.1811653775
182	0.1810495045
183	0.1809923674
184	0.1809155854
185	0.1808950719
186	0.1807184536
187	0.1805781052
188	0.1804247685
189	0.1803573726
190	0.1803321746
191	0.1801719782
192	0.1801230695
193	0.180002316
194	0.1799627803
195	0.1797842239
196	0.1797513304
197	0.1796771614
198	0.1795811818
199	0.1795397071
200	0.1795162766
201	0.1794232343
202	0.1792371113
203	0.1791260797
204	0.1789513599
205	0.1788934784
206	0.178828576
