iter	Passed	Remaining
0	30	30878
1	67	33691
2	103	34272
3	138	34423
4	173	34625
5	211	35042
6	240	34071
7	274	34089
8	311	34334
9	341	33815
10	377	33902
11	412	33989
12	448	34035
13	482	33988
14	518	34041
15	554	34103
16	589	34072
17	625	34124
18	662	34219
19	697	34192
20	733	34180
21	769	34198
22	805	34227
23	841	34204
24	876	34193
25	912	34166
26	942	33957
27	977	33937
28	1015	33986
29	1055	34137
30	1098	34346
31	1139	34472
32	1176	34469
33	1195	33954
34	1234	34050
35	1273	34108
36	1309	34083
37	1345	34058
38	1380	34016
39	1415	33976
40	1450	33930
41	1486	33896
42	1521	33854
43	1556	33815
44	1592	33805
45	1629	33790
46	1664	33745
47	1699	33709
48	1735	33684
49	1772	33679
50	1796	33436
51	1833	33422
52	1868	33387
53	1903	33353
54	1938	33314
55	1975	33308
56	2010	33269
57	2046	33244
58	2089	33322
59	2125	33296
60	2161	33269
61	2197	33245
62	2233	33219
63	2269	33187
64	2304	33143
65	2338	33095
66	2373	33056
67	2409	33025
68	2444	32987
69	2481	32962
70	2516	32925
71	2551	32880
72	2586	32838
73	2621	32803
74	2656	32760
75	2691	32722
76	2726	32680
77	2762	32656
78	2798	32623
79	2833	32586
80	2869	32560
81	2904	32515
82	2921	32278
83	2955	32231
84	2993	32227
85	3028	32184
86	3068	32205
87	3104	32175
88	3139	32137
89	3175	32105
90	3209	32063
91	3245	32027
92	3280	31989
93	3315	31957
94	3350	31922
95	3386	31890
96	3421	31849
97	3456	31810
98	3492	31786
99	3532	31789
100	3567	31752
101	3609	31774
102	3644	31735
103	3678	31694
104	3714	31663
105	3751	31636
106	3786	31601
107	3823	31576
108	3859	31546
109	3894	31511
110	3931	31485
111	3966	31451
112	4004	31429
113	4040	31400
114	4076	31370
115	4112	31338
116	4146	31290
117	4181	31253
118	4217	31220
119	4253	31190
120	4298	31224
121	4334	31193
122	4369	31153
123	4404	31113
124	4444	31108
125	4479	31073
126	4515	31038
127	4550	30997
128	4584	30955
129	4620	30923
130	4656	30888
131	4690	30846
132	4725	30806
133	4763	30781
134	4798	30742
135	4833	30705
136	4869	30674
137	4898	30598
138	4934	30566
139	4982	30607
140	5018	30572
141	5054	30537
142	5098	30557
143	5133	30518
144	5170	30486
145	5205	30446
146	5240	30407
147	5276	30374
148	5310	30333
149	5345	30292
150	5381	30257
151	5416	30216
152	5451	30178
153	5486	30141
154	5521	30101
155	5556	30061
156	5591	30024
157	5626	29984
158	5663	29957
159	5699	29923
160	5734	29883
161	5773	29862
162	5807	29822
163	5843	29786
164	5882	29771
165	5917	29728
166	5952	29689
167	5988	29659
168	6023	29619
169	6058	29580
170	6095	29551
171	6130	29513
172	6166	29477
173	6202	29442
174	6237	29405
175	6282	29412
176	6317	29376
177	6353	29338
178	6388	29302
179	6423	29263
180	6459	29227
181	6495	29192
182	6530	29155
183	6565	29117
184	6602	29087
185	6638	29053
186	6673	29014
187	6709	28979
188	6744	28940
189	6781	28909
190	6816	28872
191	6851	28832
192	6887	28797
193	6923	28763
194	6962	28742
195	6997	28702
196	7034	28672
197	7070	28637
198	7105	28599
199	7140	28563
200	7175	28524
201	7210	28484
202	7246	28449
203	7281	28412
204	7316	28374
205	7364	28386
206	7399	28348
207	7435	28312
208	7471	28277
209	7506	28238
