iter	RMSE
0	4.35240354
1	4.328615371
2	4.299541684
3	4.277232143
4	4.253861127
5	4.230587174
6	4.210403533
7	4.187717411
8	4.165338903
9	4.137646597
10	4.116247943
11	4.095937197
12	4.074438311
13	4.052037032
14	4.027213959
15	4.012062736
16	3.988838809
17	3.967022807
18	3.945533475
19	3.923653766
20	3.899756468
21	3.876016871
22	3.855466763
23	3.837020101
24	3.81592651
25	3.794571518
26	3.774001158
27	3.756569292
28	3.738326657
29	3.718002832
30	3.69782275
31	3.681071126
32	3.661624778
33	3.644076405
34	3.625507599
35	3.605342146
36	3.5866964
37	3.572625621
38	3.555747034
39	3.538107078
40	3.524080533
41	3.506778886
42	3.490267504
43	3.471789633
44	3.45876225
45	3.447157986
46	3.429006252
47	3.417039847
48	3.399227071
49	3.383390912
50	3.367795983
51	3.351211834
52	3.333152507
53	3.317162334
54	3.300761694
55	3.284982727
56	3.27007714
57	3.260506065
58	3.248135198
59	3.235583027
60	3.221950708
61	3.20765417
62	3.192457386
63	3.176979194
64	3.162993735
65	3.146426199
66	3.13285052
67	3.121908346
68	3.112516435
69	3.098000001
70	3.081739439
71	3.069347239
72	3.056373907
73	3.041859268
74	3.032028224
75	3.020526614
76	3.008202586
77	2.994942838
78	2.98175747
79	2.969070292
80	2.958609529
81	2.949407396
82	2.937809184
83	2.925080362
84	2.911252441
85	2.901560654
86	2.891319633
87	2.880467539
88	2.868028039
89	2.856113658
90	2.844110082
91	2.833068272
92	2.821897197
93	2.809540902
94	2.797011931
95	2.786021564
96	2.774725415
97	2.762135829
98	2.75288231
99	2.742248526
100	2.73222799
101	2.722066848
102	2.714775411
103	2.703923686
104	2.693909177
105	2.684936839
106	2.674900182
107	2.663841215
108	2.654160305
109	2.643039333
110	2.634991559
111	2.623896778
112	2.612860323
113	2.606626257
114	2.59948838
115	2.590835453
116	2.581459077
117	2.571327247
118	2.561619519
119	2.55194853
120	2.544588152
121	2.537497943
122	2.52890821
123	2.520328274
124	2.510654198
125	2.502826183
126	2.494452674
127	2.486740461
128	2.477269534
129	2.468654722
130	2.460078824
131	2.453004253
132	2.445152775
133	2.438488554
134	2.430165472
135	2.422184478
136	2.414272398
137	2.406748608
138	2.399130695
139	2.392316552
140	2.387153142
141	2.380745465
142	2.373823833
143	2.365337677
144	2.360434235
145	2.353572938
146	2.345839886
147	2.338809096
148	2.332460168
149	2.325961967
150	2.31964716
151	2.313672788
152	2.307144697
153	2.298831975
154	2.293025587
155	2.286391904
156	2.278764989
157	2.272144544
158	2.267196067
159	2.2618083
160	2.255264451
161	2.249102278
162	2.242814685
163	2.237889119
164	2.231774617
165	2.224918
166	2.219278101
167	2.21341205
168	2.207623575
169	2.201320157
170	2.195672591
171	2.18844417
172	2.183610403
173	2.177847738
174	2.171931999
175	2.166774279
176	2.160194239
177	2.153677459
178	2.147123473
179	2.141248838
180	2.135700554
181	2.129457713
182	2.123754526
183	2.119017156
184	2.11445651
185	2.108351519
186	2.103410367
187	2.098297309
188	2.092310623
189	2.087376694
190	2.082019337
191	2.077474567
192	2.073067599
193	2.069475432
194	2.06452459
195	2.059352836
196	2.055787842
197	2.049851769
198	2.046086329
199	2.041791666
