iter	Passed	Remaining
0	0	966
1	1	802
2	2	780
3	3	779
4	3	781
5	4	756
6	5	740
7	5	733
8	6	734
9	7	711
10	7	717
11	8	715
12	9	717
13	9	696
14	10	699
15	11	699
16	12	702
17	12	703
18	13	687
19	14	688
20	14	686
21	15	677
22	15	671
23	16	673
24	17	673
25	17	673
26	18	674
27	19	675
28	20	675
29	20	675
30	21	674
31	22	666
32	22	668
33	23	667
34	24	667
35	25	670
36	25	669
37	26	672
38	27	676
39	28	677
40	28	677
41	29	677
42	30	677
43	31	676
44	31	677
45	32	675
46	33	675
47	34	677
48	35	680
49	35	680
50	36	679
51	37	678
52	37	677
53	38	677
54	39	679
55	40	677
56	40	676
57	41	676
58	42	675
59	43	676
60	43	673
61	44	672
62	45	672
63	45	672
64	46	672
65	47	673
66	48	671
67	49	672
68	49	668
69	50	668
70	51	669
71	52	670
72	52	671
73	53	672
74	54	671
75	55	673
76	56	671
77	56	670
78	57	669
79	58	669
80	58	668
81	59	666
82	60	666
83	61	666
84	61	665
85	62	666
86	63	665
87	64	665
88	65	671
89	66	670
90	67	669
91	67	668
92	68	667
93	69	666
94	69	665
95	70	664
96	71	663
97	72	662
98	72	661
99	73	658
100	73	658
101	74	657
102	75	656
103	76	655
104	76	655
105	77	653
106	78	655
107	79	655
108	80	656
109	81	655
110	81	655
111	82	654
112	83	653
113	84	653
114	84	652
115	85	651
116	86	650
117	87	650
118	87	649
119	88	648
120	89	647
121	89	647
122	90	646
123	91	645
124	92	645
125	92	644
126	94	646
127	94	647
128	95	647
129	96	646
130	97	645
131	97	644
132	98	644
133	99	643
134	100	644
135	101	643
136	102	643
137	103	643
138	103	643
139	104	642
140	105	641
141	106	640
142	106	639
143	107	639
144	108	639
145	109	640
146	110	640
147	111	639
148	111	639
149	112	637
150	113	636
151	114	636
152	114	634
153	115	634
154	116	634
155	117	633
156	117	632
157	118	632
158	119	631
159	120	630
160	120	629
161	121	627
162	122	628
163	123	628
164	124	628
165	125	628
166	125	627
167	126	626
168	127	625
169	127	624
170	128	623
171	129	622
172	129	621
173	130	620
174	131	619
175	132	618
176	132	616
177	133	616
178	134	615
179	135	615
180	135	614
181	136	612
182	137	612
183	137	611
184	138	610
185	139	609
186	140	608
187	140	607
188	141	606
189	142	605
190	142	605
191	143	604
192	144	603
193	145	602
194	145	601
195	146	600
196	147	599
197	147	599
198	148	598
199	149	597
200	150	596
201	150	595
202	151	594
203	152	593
204	153	593
205	153	593
206	154	592
207	155	591
208	156	590
209	156	589
210	157	588
211	158	588
212	159	587
213	159	586
214	160	586
215	161	585
216	161	584
217	162	583
218	163	582
219	164	581
220	164	580
221	165	580
222	166	579
223	167	579
224	168	578
225	168	578
226	169	577
227	170	576
228	171	576
229	171	575
230	172	574
231	173	573
232	174	573
233	174	572
234	175	570
235	176	570
236	177	569
237	177	569
238	178	568
239	179	567
240	179	566
241	180	565
242	181	565
243	182	564
244	183	564
245	183	563
246	184	563
247	185	563
248	186	562
249	187	561
250	187	560
251	188	559
252	189	559
253	190	558
254	190	557
255	191	556
256	192	556
257	193	555
258	193	554
259	194	554
260	195	553
261	196	553
262	197	552
263	197	551
264	198	550
265	199	549
266	199	548
267	200	547
268	201	546
269	201	545
270	202	545
271	203	544
272	203	543
273	204	542
274	205	541
275	205	540
276	206	539
277	207	538
278	207	537
279	208	536
280	209	535
281	210	535
282	210	534
283	211	533
284	212	533
285	213	532
286	213	531
287	214	530
288	215	529
289	216	528
290	216	528
291	217	527
292	218	526
293	219	525
294	219	525
295	220	524
296	221	523
297	221	522
298	222	521
299	223	521
300	223	520
301	224	519
302	225	518
303	226	518
304	227	517
305	227	517
306	228	516
307	229	515
308	230	514
309	230	514
310	231	513
311	232	512
312	233	511
313	233	510
314	234	510
315	235	509
316	235	508
317	236	507
318	237	506
319	238	505
320	238	505
321	239	504
322	240	503
323	241	503
324	241	502
325	242	501
326	243	500
327	243	499
328	244	498
329	245	498
330	246	497
331	246	496
332	247	496
333	248	495
334	249	494
335	249	494
336	250	493
337	251	492
338	252	491
339	252	490
340	253	490
341	254	489
342	255	488
343	256	488
344	257	487
345	257	487
346	258	486
347	259	485
348	259	484
349	260	484
350	262	484
351	262	484
352	263	483
353	264	482
354	264	481
355	265	480
356	266	479
357	267	479
358	267	478
359	268	478
360	269	477
361	270	476
362	271	475
363	271	474
364	272	474
365	273	473
366	273	472
367	274	471
368	275	470
369	276	470
370	276	469
371	277	468
372	278	467
373	278	466
374	279	465
375	280	465
376	281	464
377	281	463
378	282	462
379	283	462
380	283	461
381	284	460
382	285	459
383	285	458
384	286	458
385	287	456
386	288	456
387	288	455
388	289	455
389	290	454
390	291	453
391	291	452
392	292	452
393	293	451
394	294	450
395	294	449
396	295	449
397	296	448
398	297	447
399	298	447
400	298	446
401	299	445
402	300	445
403	301	444
404	301	443
405	302	442
406	303	442
407	304	441
408	304	440
409	305	439
410	306	439
411	307	438
412	307	437
413	308	436
414	309	436
415	310	435
416	310	434
417	311	433
418	312	433
419	313	432
420	314	431
421	314	430
422	315	430
423	316	429
424	317	428
425	317	428
426	318	427
427	319	426
428	319	425
429	320	424
430	321	423
431	321	423
432	322	422
433	323	421
434	324	420
435	324	420
436	325	419
437	326	418
438	326	417
439	327	416
440	328	416
441	329	415
442	329	414
443	330	414
444	331	413
445	332	412
446	333	412
447	333	411
448	334	410
449	335	409
450	335	408
451	336	408
452	337	407
453	338	406
454	339	406
455	339	405
456	340	404
457	341	404
458	342	403
459	343	402
460	344	402
461	345	401
462	346	401
463	346	400
464	347	400
465	348	399
466	349	398
467	350	398
468	351	397
469	352	396
470	352	396
471	353	395
472	354	394
473	355	394
474	356	393
475	357	393
476	358	392
477	359	392
478	360	391
479	361	391
480	361	390
481	362	389
482	363	388
483	363	387
484	364	387
485	365	386
486	366	385
487	366	384
488	367	384
489	368	383
490	369	382
491	369	381
492	370	381
493	371	380
494	372	379
495	372	378
496	373	377
497	374	377
498	374	376
499	375	375
500	376	374
501	376	373
502	377	373
503	378	372
504	379	371
505	379	370
506	380	370
507	381	369
508	381	368
509	382	367
510	383	366
511	384	366
512	384	365
513	385	364
514	386	363
515	387	363
516	387	362
517	388	361
518	389	360
519	389	359
520	390	359
521	391	358
522	391	357
523	392	356
524	393	355
525	394	355
526	394	354
527	395	353
528	395	352
529	396	351
530	397	350
531	397	350
532	398	349
533	399	348
534	400	347
535	400	347
536	401	346
537	402	345
538	403	344
539	403	344
540	404	343
541	405	342
542	405	341
543	406	340
544	407	340
545	407	339
546	408	338
547	409	337
548	409	336
549	410	335
550	410	334
551	411	333
552	412	333
553	412	332
554	413	331
555	414	330
556	414	329
557	415	329
558	416	328
559	416	327
560	417	326
561	417	325
562	418	324
563	419	324
564	419	323
565	419	321
566	420	321
567	421	320
568	421	319
569	422	318
570	422	317
571	423	316
572	424	316
573	424	315
574	425	314
575	426	313
576	426	312
577	427	312
578	428	311
579	428	310
580	429	309
581	430	308
582	430	308
583	431	307
584	432	306
585	432	305
586	433	304
587	433	304
588	434	303
589	435	302
590	435	301
591	436	300
592	437	300
593	437	299
594	438	298
595	439	297
596	439	296
597	440	296
598	441	295
599	441	294
600	442	293
601	443	292
602	443	292
603	444	291
604	445	290
605	445	289
606	446	288
607	446	288
608	447	287
609	448	286
610	448	285
611	449	284
612	449	284
613	450	283
614	450	282
615	451	281
616	451	280
617	452	279
618	453	278
619	453	278
620	454	277
621	454	276
622	455	275
623	456	274
624	456	274
625	457	273
626	458	272
627	458	271
628	459	270
629	459	270
630	460	269
631	461	268
632	461	267
633	462	266
634	462	266
635	463	265
636	464	264
637	464	263
638	465	262
639	465	261
640	466	261
641	466	260
642	467	259
643	467	258
644	468	257
645	469	257
646	469	256
647	470	255
648	471	254
649	471	254
650	472	253
651	473	252
652	473	251
653	474	251
654	475	250
655	476	249
656	476	248
657	477	248
658	477	247
659	478	246
660	479	245
661	479	244
662	480	244
663	480	243
664	481	242
665	482	241
666	482	240
667	483	240
668	483	239
669	484	238
670	485	237
671	485	237
672	486	236
673	486	235
674	487	234
675	488	233
676	488	233
677	489	232
678	490	231
679	490	231
680	491	230
681	492	229
682	492	228
683	493	228
684	494	227
685	494	226
686	495	225
687	495	224
688	496	224
689	497	223
690	497	222
691	498	221
692	498	221
693	499	220
694	500	219
695	500	218
696	501	217
697	501	217
698	502	216
699	502	215
700	503	214
701	504	214
702	504	213
703	505	212
704	506	211
705	506	210
706	507	210
707	507	209
708	508	208
709	509	207
710	509	207
711	510	206
712	510	205
713	511	204
714	512	204
715	512	203
716	513	202
717	513	201
718	514	201
719	514	200
720	515	199
721	516	198
722	516	197
723	517	197
724	517	196
725	518	195
726	519	194
727	519	194
728	520	193
729	521	192
730	521	191
731	522	191
732	522	190
733	523	189
734	524	188
735	524	188
736	525	187
737	525	186
738	526	185
739	526	185
740	527	184
741	528	183
742	528	182
743	529	182
744	529	181
745	530	180
746	530	179
747	531	179
748	531	178
749	532	177
750	533	176
751	533	176
752	534	175
753	534	174
754	535	173
755	536	173
756	536	172
757	537	171
758	537	170
759	538	169
760	538	169
761	539	168
762	540	167
763	540	167
764	541	166
